priority,layout,font,color,duplicate,create,edit,delete,view_day_week_month,change_view_settings,repeat_schedule,create-manage_tasks,share,satisfaction,recommend,continue_using
usability,5,4,5,4,5,5,5,4,5,5,4,5,5,5,5
visibility,4,3,5,5,3,4,5,3,2,5,5,4,4,4,2
visibility,5,5,5,4,4,5,5,4,4,5,4,4,4,4,5
functionality,4,3,3,3,3,1,3,2,1,2,3,4,3,4,5
usability,5,5,5,5,5,5,5,5,5,5,5,5,4,3,2
usability,4,4,4,4,5,5,5,2,3,3,3,2,4,2,5
visibility,5,4,4,5,5,5,5,4,4,4,4,5,4,3,1
visibility,3,3,3,4,3,2,3,2,3,3,3,4,2,1,1
usability,5,4,4,5,4,4,4,4,3,4,4,3,4,4,3
visibility,4,4,5,4,3,3,5,3,3,3,3,2,2,1,1
usability,4,4,4,3,4,5,5,5,3,4,4,3,4,4,5
visibility,4,4,4,4,2,3,3,5,4,5,5,5,4,4,2
